brand,n_conversations,n_customer_messages,n_brand_messages,avg_turns,median_turns,n_resolved_heuristic,pct_resolved_heuristic
AmazonHelp,82556,203598,170444,4.530766994524929,3.0,65367,0.7917898153980328
AppleSupport,80717,131764,107143,2.959810201072884,2.0,71407,0.8846587459890729
Uber_Support,41923,72154,56396,3.066335901533764,2.0,35605,0.849295136321351
SpotifyCares,28280,48543,43346,3.249257425742574,2.0,25735,0.910007072135785
AmericanAir,26386,50054,37530,3.319336011521261,2.0,20946,0.7938300613961949
Delta,26168,45296,42698,3.3626566799143993,2.0,23106,0.8829868541730358
comcastcares,24063,39579,33470,3.0357395171009434,2.0,21523,0.8944437518181441
TMobileHelp,22820,47158,35572,3.6253286590709903,2.0,20190,0.8847502191060473
SouthwestAir,21636,35370,29356,2.991588093917545,2.0,18344,0.847846182288778
Ask_Spectrum,18532,33252,26386,3.218109216490395,2.0,15659,0.8449708612130369
Tesco,16722,34228,38931,4.375014950364789,4.0,12842,0.7679703384762588
British_Airways,16452,31187,29529,3.690493557014345,3.0,12658,0.7693897398492584
UPSHelp,15523,25724,18828,2.870063776331895,2.0,12234,0.7881208529279135
hulu_support,14955,26807,22488,3.2962219993313275,2.0,10316,0.6898027415580074
VirginTrains,14853,37832,27978,4.430754729684239,3.0,9938,0.6690904194438834
ChipotleTweets,14392,23084,18756,2.9071706503613117,2.0,11879,0.8253891050583657
sprintcare,13560,30212,23839,3.986061946902655,2.0,11159,0.8229351032448378
XboxSupport,13455,32395,25262,4.285172798216276,3.0,10128,0.7527313266443701
AskPlayStation,12533,23954,19182,3.4417936647251257,2.0,9013,0.7191414665283651
ATVIAssist,11113,30521,17830,4.350850355439575,2.0,5815,0.5232610456222442
sainsburys,10934,23710,19999,3.997530638375709,3.0,7687,0.7030364002194988
GWRHelp,10732,27278,19565,4.3647968691762955,3.0,7085,0.6601751770406261
O2,9556,20245,16298,3.8240895772289663,2.0,7202,0.7536626203432398
Safaricom_Care,9337,17650,16077,3.6121880689729036,3.0,7449,0.7977937238941845
VerizonSupport,8447,26652,19295,5.439445957144549,4.0,6310,0.7470107730555227
